,Address,BuildingType,ComplianceStatus,DataYear,DefaultData,ENERGYSTARScore,LargestPropertyUseType,ListOfAllPropertyUseTypes,Neighborhood,PrimaryPropertyType,PropertyName,TaxParcelIdentificationNumber
22,5149 S. Graham St.,SPS-District K-12,Error - Correct Default Data,2016,True,95.0,K-12 School,K-12 School,SOUTHEAST,K-12 School,Graham Hill Elementary,1102000138
23,4242 ROOSEVELT WAY NE,NonResidential,Compliant,2016,False,84.0,Hotel,"Hotel, Parking",NORTHEAST,Hotel,WATERTOWN HOTEL,1142000755
24,1000 Lenora St.,NonResidential,Compliant,2016,False,,College/University,College/University,DOWNTOWN,University,Main Campus Center,0660001420
25,1015 & 1017 Olive Way,NonResidential,Compliant,2016,False,,Automobile Dealership,Automobile Dealership,DOWNTOWN,Other,Seattle Honda,0660001725
26,1011 Pike ST,NonResidential,Compliant,2016,False,,Hotel,"Hotel, Parking, Retail Store, Swimming Pool",EAST,Hotel,Homewood Suites,0660001832
27,1800 Yale Ave,NonResidential,Compliant,2016,False,57.0,Hotel,Hotel,DOWNTOWN,Hotel,Marriott Springhill Suites (33),0660002680
28,301/300 21st Ave. E.,SPS-District K-12,Missing Data,2016,False,,K-12 School,K-12 School,Central,K-12 School,Meany Building,0688000090
29,2200 5th ave,NonResidential,Compliant,2016,False,57.0,Hotel,Hotel,DOWNTOWN,Hotel,Hotel Five,0697000170
30,11051 34th Ave. N.E.,SPS-District K-12,Error - Correct Default Data,2016,True,75.0,K-12 School,K-12 School,NORTH,K-12 School,Jane Addams Middle,0752000170
31,201 Garfield St.,SPS-District K-12,Missing Data,2016,False,,K-12 School,K-12 School,MAGNOLIA / QUEEN ANNE,K-12 School,John Hay Elementary,0809000005
32,4649 Sunnyside Ave. N.,NonResidential,Compliant,2016,False,,Office,"K-12 School, Multifamily Housing, Office, Other - Entertainment/Public Assembly",LAKE UNION,Small- and Mid-Sized Office,Good Shepherd Center,0825049008
33,5036 25th Ave NE,NonResidential,Compliant,2016,False,29.0,Hotel,Hotel,NORTHEAST,Hotel,Silver Cloud University,0925049117
34,2746 Ne 45th St Suite 100,NonResidential,Compliant,2016,False,,Self-Storage Facility,Self-Storage Facility,NORTHEAST,Self-Storage Facility,08781-University Village,0925049330
35,7755 E MARGINAL WAY S,Campus,Compliant,2016,False,8.0,Office,"Energy/Power Station, Laboratory, Manufacturing/Industrial Plant, Non-Refrigerated Warehouse, Office",GREATER DUWAMISH,Mixed Use Property,Plant 2 Site,0022000005
36,3301 S NORFOLK ST,NonResidential,Compliant,2016,False,,Non-Refrigerated Warehouse,"Non-Refrigerated Warehouse, Office, Refrigerated Warehouse",GREATER DUWAMISH,Warehouse,Seattle 11-13,0323049024
37,4000 27th Ave. W.,SPS-District K-12,Compliant,2016,False,97.0,K-12 School,K-12 School,MAGNOLIA / QUEEN ANNE,K-12 School,Lawton Elementary,0369000400
38,3003 N.E. 75th St.,SPS-District K-12,Error - Correct Default Data,2016,True,88.0,K-12 School,K-12 School,NORTHEAST,K-12 School,Eckstein Middle,0425049022
39,5305 Shilshole Ave NW,NonResidential,Compliant,2016,False,57.0,Office,"Non-Refrigerated Warehouse, Office",BALLARD,Small- and Mid-Sized Office,SBC52,0467000429
40,2524 16th Ave S,NonResidential,Compliant,2016,False,83.0,Office,"Office, Other - Education",GREATER DUWAMISH,Small- and Mid-Sized Office,El Centro de la Raza,0570000340
41,8200 Wallingford Ave. N,NonResidential,Compliant,2016,False,95.0,K-12 School,K-12 School,NORTHWEST,K-12 School,Blanchet High School,0625049002
42,11 Vine Street,NonResidential,Compliant,2016,False,,Self-Storage Facility,"Office, Self-Storage Facility, Vocational School",DOWNTOWN,Self-Storage Facility,Vine Street,0653000225
43,1301 Sixth Ave,NonResidential,Compliant,2016,False,67.0,Hotel,Hotel,DOWNTOWN,Hotel,Seattle Hilton Hotel,1975700040
44,413 Pine Street,NonResidential,Compliant,2016,False,78.0,Office,"Data Center, Office, Retail Store",DOWNTOWN,Large Office,5th and Pine,1975700200
45,1525 4th Ave,NonResidential,Compliant,2016,False,,Other - Mall,"Other - Mall, Personal Services (Health/Beauty, Dry Cleaning, etc)",DOWNTOWN,Other,1525 4th Avenue,1975700365
46,1520 3rd Ave,NonResidential,Compliant,2016,False,14.0,Office,"Office, Retail Store",DOWNTOWN,Small- and Mid-Sized Office,Gibraltar Tower,1975700380
47,1401 3rd Avenue,NonResidential,Compliant,2016,False,,Other - Entertainment/Public Assembly,"Office, Other - Entertainment/Public Assembly, Restaurant",DOWNTOWN,Mixed Use Property,Mann Building,1975700525
48,1531 7th Ave,NonResidential,Compliant,2016,False,71.0,Hotel,"Hotel, Parking, Restaurant",DOWNTOWN,Hotel,Roosevelt Hotel,1976700010
49,1400 6th Avenue,NonResidential,Compliant,2016,False,63.0,Hotel,"Hotel, Parking, Swimming Pool",DOWNTOWN,Hotel,Sheraton Seattle Hotel,1976700095
50,86 Pine St,NonResidential,Compliant,2016,False,98.0,Hotel,"Hotel, Parking, Restaurant, Retail Store",DOWNTOWN,Hotel,Inn at the Market,1977200050
51,1926 2nd Ave,NonResidential,Compliant,2016,False,99.0,Hotel,"Hotel, Other - Entertainment/Public Assembly, Retail Store",DOWNTOWN,Hotel,Moore Hotel INC,1977201035
52,618 JOHN ST,NonResidential,Compliant,2016,False,86.0,Hotel,"Hotel, Parking",LAKE UNION,Hotel,QUALITY INN,1991200730
53,211 Dexter Ave N,NonResidential,Compliant,2016,False,84.0,Hotel,Hotel,LAKE UNION,Hotel,Rainier Hospitality,1991200935
54,226 Aurora Ave N,NonResidential,Compliant,2016,False,80.0,Hotel,Hotel,LAKE UNION,Hotel,Sequim Lodging Corp,1991200940
55,206 Western Ave West,NonResidential,Compliant,2016,False,81.0,Hotel,Hotel,MAGNOLIA / QUEEN ANNE,Hotel,Homewood Suites by Hilton Seattle Downtonw,1992200235
56,1617 Interlaken Drive East,NonResidential,Compliant,2016,False,76.0,K-12 School,K-12 School,EAST,K-12 School,Seattle Hebrew Academy,2125049015
57,601 Roy St,NonResidential,Compliant,2016,False,94.0,Hotel,"Hotel, Parking",MAGNOLIA / QUEEN ANNE,Hotel,Comfort Suites Seattle Center,2249000170
58,1700 E. Cherry St,NonResidential,Compliant,2016,False,71.0,Office,Office,CENTRAL,Small- and Mid-Sized Office,Dept of Social & Health Services,2254501944
59,4831 35th Ave SW,NonResidential,Compliant,2016,False,54.0,Senior Care Community,"Parking, Senior Care Community",SOUTHWEST,Senior Care Community,PSSA - The Mount,2324039001
60,13023 Greenwood Ave. N,NonResidential,Compliant,2016,False,1.0,Senior Care Community,Senior Care Community,NORTHWEST,Senior Care Community,Foss Home and Village,2426039059
61,207 Pontius Ave N,NonResidential,Compliant,2016,False,74.0,Hotel,"Hotel, Parking",LAKE UNION,Hotel,SCCA - ALLIANCE HOUSE,2467400430
62,3701 S.W. 104th St.,SPS-District K-12,Missing Data,2016,False,,K-12 School,K-12 School,SOUTHWEST,K-12 School,Arbor Heights Elementary,2518400005
63,1200 Harvard Ave,NonResidential,Compliant,2016,False,48.0,Medical Office,Medical Office,EAST,Medical Office,Polyclinic North && South,1978201270
64,900 Madison St.,NonResidential,Compliant,2016,False,71.0,Hotel,Hotel,EAST,Hotel,Sorrento Hotel,1979200270
65,921 Terry Ave.,NonResidential,Compliant,2016,False,,Medical Office,"Data Center, Medical Office, Non-Refrigerated Warehouse, Office, Other, Parking",EAST,Mixed Use Property,Central Seattle,1979200290
66,400 Westlake Ave N,NonResidential,Compliant,2016,False,96.0,Retail Store,Retail Store,LAKE UNION,Retail Store,Firestone Store#012432,1983200230
67,551 Boren Ave. North,NonResidential,Compliant,2016,False,96.0,Office,"Office, Other, Parking, Retail Store",LAKE UNION,Large Office,City Place III - SEDO,1983200325
68,800 Fairview Ave. N,NonResidential,Compliant,2016,False,37.0,Hotel,"Hotel, Parking",LAKE UNION,Hotel,Residence Inn Seattle - Lake Union,1984200065
69,334 1st Ave. N,Nonresidential COS,Compliant,2016,False,,Other,Other,MAGNOLIA / QUEEN ANNE,Other,Key Arena,1985200003
70,151 Mercer St.,Nonresidential COS,Compliant,2016,False,,Other,Other,MAGNOLIA / QUEEN ANNE,Other,Bagley Wright Theatre,1985200003
71,305 Harrison St.,Nonresidential COS,Compliant,2016,False,,Other,Other,MAGNOLIA / QUEEN ANNE,Other,Armory,1985200305
72,333 Boren Ave. N.,NonResidential,Compliant,2016,False,91.0,Office,"Office, Other, Parking",LAKE UNION,Large Office,City Place IV - SEDO,1986200410
73,225 Mercer St.,Nonresidential COS,Compliant,2016,False,,Other,Other,MAGNOLIA / QUEEN ANNE,Other,Exhibition Hall,1988200440
74,363 Mercer St.,Nonresidential COS,Compliant,2016,False,,Other,Other,MAGNOLIA / QUEEN ANNE,Other,Mercer Arena,1988200700
75,321 Mercer St.,Nonresidential COS,Compliant,2016,False,,Other,Other,MAGNOLIA / QUEEN ANNE,Other,McCaw Hall,1988200700
76,401 Mercer St,NonResidential,Compliant,2016,False,,Office,"Data Center, Distribution Center, Office, Parking, Retail Store",MAGNOLIA / QUEEN ANNE,Small- and Mid-Sized Office,KCTS9,1988200705
77,500 5th Ave N,NonResidential,Compliant,2016,False,93.0,Office,"Office, Other, Parking",MAGNOLIA / QUEEN ANNE,Large Office,Bill and Melinda Gates Foundation,1988201155
78,221 1st Ave. W,NonResidential,Compliant,2016,False,68.0,Office,"Office, Other, Parking",MAGNOLIA / QUEEN ANNE,Small- and Mid-Sized Office,J.G. Scripps Building,1989200850
79,425 queen anne ave N.,NonResidential,Compliant,2016,False,56.0,Hotel,"Hotel, Parking",MAGNOLIA / QUEEN ANNE,Hotel,MEDITERRANEAN INN (ID#116),1989201125
80,4140 ROOSEVELT WAY NE,NonResidential,Compliant,2016,False,53.0,Hotel,"Hotel, Swimming Pool",NORTHEAST,Hotel,UNIVERSITY INN,1142001871
81,1901 SW Genesee St.,SPS-District K-12,Missing Data,2016,False,,K-12 School,K-12 School,DELRIDGE,K-12 School,Pathfinder K-8,1324039116
82,700 18th Ave. E.,NonResidential,Compliant,2016,False,34.0,K-12 School,K-12 School,EAST,K-12 School,St. Joseph K-8 School,1336800825
83,728 21st Ave East,NonResidential,Compliant,2016,False,100.0,K-12 School,K-12 School,EAST,K-12 School,Holy Names Academy,1338800660
84,2100 24th Ave S,NonResidential,Compliant,2016,False,63.0,Office,"Office, Parking",SOUTHEAST,Small- and Mid-Sized Office,2100 Building,1498303116
85,3301 S. Horton St.,SPS-District K-12,Missing Data,2016,False,,K-12 School,K-12 School,SOUTHEAST,K-12 School,John Muir Elementary,1524049002
86,1600 Columbian Way S.,SPS-District K-12,Error - Correct Default Data,2016,True,61.0,K-12 School,K-12 School,GREATER DUWAMISH,K-12 School,Mercer International Middle,1624049214
87,5215 46th Ave. S.,SPS-District K-12,Error - Correct Default Data,2016,True,93.0,K-12 School,K-12 School,SOUTHEAST,K-12 School,Orca K-8 School,1704900242
88,1915 1st Ave. W.,SPS-District K-12,Error - Correct Default Data,2016,True,86.0,K-12 School,K-12 School,MAGNOLIA / QUEEN ANNE,K-12 School,McClure Middle,1794501220
89,1208 NE 64th st,NonResidential,Compliant,2016,False,,Other,Other,NORTHEAST,Other,Lakeview,1797500625
90,6417 Roosevelt Way NE # 18-28,NonResidential,Compliant,2016,False,,Other,"Other, Parking",NORTHEAST,Other,Roosevelt Square,1797500715
91,14115 Aurora Ave N,NonResidential,Compliant,2016,False,89.0,Hotel,"Hotel, Parking",NORTHWEST,Hotel,Holiday Inn Express North Seattle Shoreline,1926049012
92,13052 Greenwood Ave. N.,SPS-District K-12,Error - Correct Default Data,2016,True,88.0,K-12 School,K-12 School,NORTHWEST,K-12 School,Broadview-Thomson K-8,1926049025
93,1819 N. 135th St.,SPS-District K-12,Compliant,2016,False,92.0,K-12 School,K-12 School,NORTHWEST,K-12 School,Ingraham High,1926049321
94,13300 Stone Avenue N,NonResidential,Compliant,2016,False,78.0,Hotel,Hotel,NORTHWEST,Hotel,7066-Seattle-Northgate,1926049434
95,3921 Linden Ave. N.,SPS-District K-12,Missing Data,2016,False,,K-12 School,K-12 School,LAKE UNION,K-12 School,B.F. Day Elementary,1931301145
96,1007 First Ave.,NonResidential,Compliant,2016,False,98.0,Hotel,"Hotel, Parking",DOWNTOWN,Hotel,Alexis Hotel,1974600035
97,200 University Street,Nonresidential COS,Compliant,2016,False,,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,DOWNTOWN,Other,Benaroya Hall,1974700025
98,5300 Tallman Ave NW,NonResidential,Compliant,2016,False,14.0,Hospital (General Medical & Surgical),"Hospital (General Medical & Surgical), Parking",BALLARD,Hospital,Swedish Ballard,2767703875
99,5601 4th Ave. N.W.,SPS-District K-12,Error - Correct Default Data,2016,True,93.0,K-12 School,K-12 School,Ballard,K-12 School,West Woodland Elementary,2768000375
100,105 5th Ave S,Nonresidential COS,Compliant,2016,False,,Other,"Office, Other",DOWNTOWN,Other,Fire Station 10/FAC/EOC,5247801465
101,719 South King Street,NonResidential,Compliant,2016,False,,Museum,Museum,DOWNTOWN,Other,Wing Luke Museum,5247802715
102,700 5th Ave N.,NonResidential,Compliant,2016,False,76.0,Hotel,"Hotel, Parking",MAGNOLIA / QUEEN ANNE,Hotel,Hampton Inn Seattle Center,5458300285
103,3013 S. Mt. Baker Blvd.,SPS-District K-12,Error - Correct Default Data,2016,True,90.0,K-12 School,K-12 School,SOUTHEAST,K-12 School,Franklin High,5700000455
104,801 E PINE ST,NonResidential,Compliant,2016,False,,College/University,College/University,EAST,University,SCCC FINE ARTS BUILDING,6003000470
105,6000 16th Ave SW,Campus,Compliant,2016,False,,College/University,College/University,DELRIDGE,University,SSCC MAIN CAMPUS,6171900005
106,6901Sand Point Way NE,NonResidential,Compliant,2016,False,,Office,"Data Center, Office",NORTHEAST,Small- and Mid-Sized Office,Seattle Children's Hospital 70th/Sand Point Way Administrative Offices,6418100005
107,805 S Charles St,Nonresidential COS,Compliant,2016,False,,"Repair Services (Vehicle, Shoe, Locksmith, etc)","Repair Services (Vehicle, Shoe, Locksmith, etc)",GREATER DUWAMISH,Other,CSC Vehicle Maintenance (E),6834700175
108,400 23rd Ave.,SPS-District K-12,Error - Correct Default Data,2016,True,60.0,K-12 School,K-12 School,CENTRAL,K-12 School,Garfield High,6840701230
109,9709 60th Ave. S.,SPS-District K-12,Error - Correct Default Data,2016,True,92.0,K-12 School,K-12 School,SOUTHEAST,K-12 School,Emerson Elementary,7129302300
110,1121 33rd Ave.,SPS-District K-12,Error - Correct Default Data,2016,True,79.0,K-12 School,K-12 School,CENTRAL,K-12 School,Madrona K-8,7152200350
111,8311 Beacon Ave S,SPS-District K-12,Error - Correct Default Data,2016,True,88.0,K-12 School,K-12 School,GREATER DUWAMISH,K-12 School,Van Asselt Elementary,7243500230
112,3800 S Othello St,NonResidential,Compliant,2016,False,,Office,"Office, Other",GREATER DUWAMISH,Small- and Mid-Sized Office,Seattle's Union Gospel Mission - Admin,7378600265
113,3802 S Othello St,NonResidential,Compliant,2016,False,,Other - Lodging/Residential,"Food Service, Office, Other - Lodging/Residential",GREATER DUWAMISH,Other,Hope Place,7378600265
114,3469 3rd Ave. W,NonResidential,Compliant,2016,False,,College/University,College/University,MAGNOLIA / QUEEN ANNE,University,Otto Miller Hall,7443000070
115,500 W. Emerson,NonResidential,Compliant,2016,False,89.0,Residence Hall/Dormitory,Residence Hall/Dormitory,MAGNOLIA / QUEEN ANNE,Residence Hall,Emerson Hall,7443000375
116,17050 30th Ave. N.E.,SPS-District K-12,Compliant,2016,False,96.0,K-12 School,"K-12 School, Parking",NORTH,K-12 School,Nathan Hale High,2826049152
117,1211 E Alder Street,NonResidential,Compliant,2016,False,,Other,"Courthouse, Other",CENTRAL,Other,Youth Services Center,2908700085
118,144 N.W. 80th St.,SPS-District K-12,Error - Correct Default Data,2016,True,96.0,K-12 School,K-12 School,NORTHWEST,K-12 School,Greenwood Elementary,2919200635
119,1900 9th Ave.,NonResidential,Compliant,2016,False,,Other,Other,DOWNTOWN,Other,Jack R. McDonald Building,0660001215
120,7343 E Marginal Way S,NonResidential,Compliant,2016,False,21.0,Office,"Non-Refrigerated Warehouse, Office, Other - Services",GREATER DUWAMISH,Small- and Mid-Sized Office,Emerald Services,2924049043
121,401 Northgate Way,NonResidential,Compliant,2016,False,98.0,Retail Store,"Restaurant, Retail Store",NORTH,Retail Store,Northgate Mall,2926049025
122,10631 8th Ave NE,NonResidential,Compliant,2016,False,,Other/Specialty Hospital,Other/Specialty Hospital,NORTH,Other,Seattle-Northgate,2926049409
123,401 NE Northgate Way,NonResidential,Compliant,2016,False,76.0,Retail Store,Retail Store,NORTH,Retail Store,Nordstrom Northgate 002,2926049528
124,4800 Sand Point Way NE,NonResidential,Compliant,2016,False,10.0,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),NORTHEAST,Hospital,Seattle Children's Hospital Main Campus,2982800005
125,11027 Meridian N #102,NonResidential,Compliant,2016,False,72.0,Financial Office,"Financial Office, Medical Office, Parking",NORTHWEST,Other,Verity Credit Union,3026049024
126,1418 N.W. 65th St.,SPS-District K-12,Error - Correct Default Data,2016,True,80.0,K-12 School,K-12 School,BALLARD,K-12 School,Ballard High,3050700050
127,1111 E. Madison,NonResidential,Compliant,2016,False,,Self-Storage Facility,Self-Storage Facility,EAST,Self-Storage Facility,Madison Self Storage,3225049002
128,9600 COLLEGE WAY N,Campus,Compliant,2016,False,,College/University,College/University,NORTHWEST,University,NSCC MAIN CAMPUS,3226049021
129,3928 S. Graham St.,SPS-District K-12,Error - Correct Default Data,2016,True,79.0,K-12 School,K-12 School,SOUTHEAST,K-12 School,Aki Kurose Middle,3332501090
130,5950 Delridge Way S.W.,SPS-District K-12,Error - Correct Default Data,2016,True,75.0,K-12 School,K-12 School,DELRIDGE,K-12 School,Boren Building,3438501230
131,5628 Airport Way South,NonResidential,Compliant,2016,False,61.0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,GREATER DUWAMISH,Warehouse,Rainier Bottling Plant,3466800065
132,8815 Seward Park Ave S.,SPS-District K-12,Error - Correct Default Data,2016,True,86.0,K-12 School,K-12 School,SOUTHEAST,K-12 School,Rainier Beach High,3524049149
133,9201 15th Ave. NW.,SPS-District K-12,Missing Data,2016,False,,K-12 School,K-12 School,BALLARD,K-12 School,Whitman Middle,3526039131
134,4786 First Ave S,NonResidential,Compliant,2016,False,87.0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,GREATER DUWAMISH,Warehouse,8109,3573700006
135,2600 SW Barton St,NonResidential,Compliant,2016,False,72.0,Retail Store,Retail Store,DELRIDGE,Retail Store,Westwood Village - Building A,3624039009
137,2601 SW Kenyon / 2600 SW Thistle,SPS-District K-12,Compliant,2016,False,97.0,K-12 School,K-12 School,DELRIDGE,K-12 School,Denny/Sealth Campus,3624039032
138,9430 30th Ave. S.W.,SPS-District K-12,Error - Correct Default Data,2016,True,86.0,K-12 School,K-12 School,DELRIDGE,K-12 School,Roxhill Elementary,3624039057
139,2101 S. Jackson,SPS-District K-12,Missing Data,2016,False,,K-12 School,K-12 School,CENTRAL,K-12 School,Washington Middle,3646100540
140,3014 NW 67th St.,NonResidential,Compliant,2016,False,,Other,Other,BALLARD,Other,Webster Building,3693901110
141,6725 45th Ave S,SPS-District K-12,Error - Correct Default Data,2016,True,92.0,K-12 School,K-12 School,SOUTHEAST,K-12 School,Martin Luther King Jr. Elementary,3812400550
142,6343 35th Ave SW,NonResidential,Compliant,2016,False,,Self-Storage Facility,Self-Storage Facility,SOUTHWEST,Self-Storage Facility,U-Haul Moving and Storage of West Seattle,3874900040
143,1610 N. 41st St.,SPS-District K-12,Error - Correct Default Data,2016,True,75.0,K-12 School,K-12 School,LAKE UNION,K-12 School,Hamilton International Middle,4083301505
144,1150 Fairview Ave N,NonResidential,Compliant,2016,False,79.0,Hotel,"Hotel, Parking, Swimming Pool",LAKE UNION,Hotel,Silver Cloud Inn,4088802955
145,860 Terry Ave N,Nonresidential COS,Compliant,2016,False,,Museum,Museum,LAKE UNION,Other,Armory Building,4088803210
146,802 Roy St,Nonresidential COS,Compliant,2016,False,,Non-Refrigerated Warehouse,"Non-Refrigerated Warehouse, Office, Other - Services, Residence Hall/Dormitory",MAGNOLIA / QUEEN ANNE,Warehouse,SCL Roy Street Warehouse,4088803530
147,925 Westlake Ave North,NonResidential,Compliant,2016,False,76.0,Hotel,Hotel,MAGNOLIA / QUEEN ANNE,Hotel,311jk-Seattle Downtown/Lake Union CY,4088803586
148,1320 NW 75th St.,SPS-District K-12,Error - Correct Default Data,2016,True,89.0,K-12 School,K-12 School,BALLARD,K-12 School,Whittier Elementary,4240400005
149,1300 N 97th ST,Nonresidential COS,Compliant,2016,False,,Office,"Data Center, Distribution Center, Office, Other, Parking",NORTHWEST,Small- and Mid-Sized Office,North Service Center,4310701070
150,4320 SW Myrtle,SPS-District K-12,Error - Correct Default Data,2016,True,97.0,K-12 School,K-12 School,SOUTHWEST,K-12 School,Gatewood Elementary,4315700020
151,2140 N. Northgate Way,NonResidential,Compliant,2016,False,70.0,Hotel,Hotel,NORTHWEST,Hotel,Hotel Nexus,4468400005
152,504 N.E. 95th St.,SPS-District K-12,Missing Data,2016,False,,K-12 School,K-12 School,NORTH,K-12 School,Olympic View Elementary,5100404840
153,7201 Beacon Ave. S.,SPS-District K-12,Error - Correct Default Data,2016,True,87.0,K-12 School,K-12 School,GREATER DUWAMISH,K-12 School,Van Asselt Building - Old,5129000050
154,76-80 S washington st,NonResidential,Compliant,2016,False,78.0,Office,"Office, Restaurant, Self-Storage Facility",DOWNTOWN,Small- and Mid-Sized Office,Washington Park Building,5247800030
155,800 Occidental Ave. South,NonResidential,Compliant,2016,False,,Other - Entertainment/Public Assembly,"Other - Entertainment/Public Assembly, Parking",GREATER DUWAMISH,Other,CenturyLink,7666204876
156,3613 4th Ave S,Nonresidential COS,Compliant,2016,False,,Distribution Center,"Data Center, Distribution Center, Office, Other",GREATER DUWAMISH,Distribution Center,SCL SSC Building A,7666205660
158,1250 First Avenue South,NonResidential,Compliant,2016,False,,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,GREATER DUWAMISH,Other,Safeco Field,7666206483
159,1046 1st Ave S,NonResidential,Compliant,2016,False,64.0,Hotel,"Food Service, Hotel, Parking",GREATER DUWAMISH,Hotel,Silver Cloud Hotel - Stadium,7666206720
160,3235 16TH AVE SW,NonResidential,Compliant,2016,False,34.0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,GREATER DUWAMISH,Warehouse,Harbor Island: Warehouse E - DNRP-SWD,7666703020
161,4400 Interlake Ave N,SPS-District K-12,Error - Correct Default Data,2016,True,79.0,K-12 School,K-12 School,LAKE UNION,K-12 School,Lincoln Building,7821200700
162,1420 S Trenton,Campus,Compliant,2016,False,,Office,"Laboratory, Non-Refrigerated Warehouse, Office, Other - Utility",GREATER DUWAMISH,Large Office,South Park,7883608601
163,316 NE Thornton Place,NonResidential,Compliant,2016,False,,Parking,"Fast Food Restaurant, Medical Office, Movie Theater, Parking, Retail Store",NORTH,Other,Building 1,8632880000
164,516 1st Ave W,NonResidential,Compliant,2016,False,,Multifamily Housing,"Financial Office, Multifamily Housing, Parking, Retail Store, Supermarket/Grocery Store",MAGNOLIA / QUEEN ANNE,Mixed Use Property,TriBeCa,8681450000
165,2024 3rd Avenue,Multifamily MR (5-9),Compliant,2016,False,,Multifamily Housing,"Multifamily Housing, Office, Other - Lodging/Residential, Retail Store",DOWNTOWN,Mid-Rise Multifamily,YWCA Opportunity Place,8729690000
166,721 Pine St,NonResidential,Compliant,2016,False,,Hotel,"Hotel, Other, Parking, Restaurant, Retail Store",DOWNTOWN,Hotel,Grand Hyatt Seattle,6792120000
167,500 17th Ave,NonResidential,Compliant,2016,False,34.0,Hospital (General Medical & Surgical),"Hospital (General Medical & Surgical), Parking",CENTRAL,Hospital,Swedish Cherry Hill,7942600331
168,1012 S.W. Trenton St.,SPS-District K-12,Error - Correct Default Data,2016,True,87.0,K-12 School,K-12 School,DELRIDGE,K-12 School,Highland Park Elementary,7972603210
